rail,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
2,clearance,rail,E53233046200,2,5,6,JOINT,JOINT,75,50,59.29,47.44,-21.02,-88.51,106.25,-27.05,1723.00,,,,,,,3,1
2,clearance,rail,E53233046200,2,5,5,LINEAR,JOINT,1000,50,43.81,46.30,17.95,-102.48,94.41,31.01,1723.00,,,,,,,3,1
2,clearance,rail,E53233046200,2,5,4,JOINT,JOINT,75,100,31.68,29.92,13.35,-104.80,81.46,28.24,1723.00,,,,,,,3,1
2,clearance,rail,E53233046200,2,5,3,JOINT,JOINT,75,100,30.79,40.03,-5.71,-88.94,115.58,-13.89,1723.00,,,,,,,3,1
2,clearance,rail,E53233046200,2,5,2,JOINT,JOINT,75,100,15.93,22.77,-30.35,-1.52,115.53,105.22,1723.00,,,,,,,3,1
2,clearance,rail,E53233046200,2,5,1,JOINT,JOINT,75,100,0.00,18.51,-39.04,0.00,106.04,90.00,1723.00,,,,,,,3,1
3,station,rail,E53233024200,3,4,1,JOINT,JOINT,75,0,0.00,18.51,-39.04,0.00,106.04,90.00,1212.50,,,,,,,3,1
3,approach,rail,E53233024200,3,4,2,JOINT,JOINT,75,100,15.93,22.77,-30.35,-1.52,115.53,105.22,1212.50,,,,,,,3,1
3,approach,rail,E53233024200,3,4,3,JOINT,JOINT,75,100,30.79,40.03,-5.71,-88.94,115.58,-13.89,1212.50,,,,,,,3,1
3,approach,rail,E53233024200,3,4,4,JOINT,JOINT,75,100,31.68,29.92,13.35,-104.80,81.46,28.24,1212.50,,,,,,,3,1
3,approach,rail,E53233024200,3,4,5,JOINT,JOINT,75,50,43.81,46.30,17.95,-102.48,94.41,31.01,1212.50,,,,,,,3,1
3,approach,rail,E53233024200,3,4,6,LINEAR,JOINT,2000,50,59.29,47.44,-21.02,-88.51,106.25,-27.05,1212.50,,,,,,,3,1
3,approach,rail,E53233024200,3,4,7,LINEAR,JOINT,2000,100,58.39,48.78,-19.32,-104.45,99.87,-11.59,1212.50,,,,,,,3,1
3,approach,rail,E53233024200,3,4,8,LINEAR,JOINT,100,0,59.78,56.34,-13.84,-103.86,102.50,-6.50,1212.50,,,,,,,3,1
3,work,fastener,ASNA2392-3-04,3,1,9,LINEAR,CRT,100,0,178.56,1546.71,5.40,90.00,-83.00,-180.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,578,2,11,LINEAR,CRT,100,0,162.15,1546.71,25.66,90.00,-87.10,-180.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,577,3,12,LINEAR,CRT,100,0,156.53,1546.71,5.29,90.00,-86.78,-180.00,1212.50,F,U,T,0,0,0,3,1
3,work,fastener,ASNA2392-3-04,575,4,13,LINEAR,CRT,100,0,140.17,1546.71,25.38,-90.00,-88.23,0.00,1212.50,F,U,T,0,0,0,3,1
